GRPIP,Name
22,"Battery Park City, Greenwich Village & Soho"
32,Chinatown & Lower East Side
28,Howard Beach & Ozone Park
22,Chinatown & Lower East Side
13,Brighton Beach & Coney Island
24,Sunset Park & Windsor Terrace
8,Crown Heights North & Prospect Heights
26,Upper West Side & West Side
13,"Belmont, Crotona Park East & East Tremont"
26,"Bayside, Douglaston & Little Neck"
21,Bedford-Stuyvesant
28,"Port Richmond, Stapleton & Mariner's Harbor"
20,Brighton Beach & Coney Island
16,"Belmont, Crotona Park East & East Tremont"
34,"Washington Heights, Inwood & Marble Hill"
9,"Chelsea, Clinton & Midtown Business District"
67,Bensonhurst & Bath Beach
26,Bushwick
23,"Belmont, Crotona Park East & East Tremont"
48,Forest Hills & Rego Park
45,New Springville & South Beach
5,Crown Heights North & Prospect Heights
46,"Belmont, Crotona Park East & East Tremont"
68,"Jamaica, Hollis & St. Albans"
26,"Sheepshead Bay, Gerritsen Beach & Homecrest"
31,Central Harlem
34,"Wakefield, Williamsbridge & Woodlawn"
25,"Ridgewood, Glendale & Middle Village"
26,"East Flatbush, Farragut & Rugby"
24,"Wakefield, Williamsbridge & Woodlawn"
24,"Morris Heights, Fordham South & Mount Hope"
26,Greenpoint & Williamsburg
9,"Belmont, Crotona Park East & East Tremont"
86,Canarsie & Flatlands
31,"Flushing, Murray Hill & Whitestone"
58,Chinatown & Lower East Side
3,Upper East Side
48,"Ridgewood, Glendale & Middle Village"
56,"East Flatbush, Farragut & Rugby"
42,Canarsie & Flatlands
35,Greenpoint & Williamsburg
98,Sunset Park & Windsor Terrace
37,"Bedford Park, Fordham North & Norwood "
30,Bushwick
80,Bushwick
50,"Belmont, Crotona Park East & East Tremont"
24,Bay Ridge & Dyker Heights
24,"Jamaica, Hollis & St. Albans"
17,Bushwick
20,"Hamilton Hts, Manhattanville & West Harlem"
78,Bensonhurst & Bath Beach
31,Canarsie & Flatlands
16,"Ridgewood, Glendale & Middle Village"
24,Flatbush & Midwood
16,Upper East Side
13,Forest Hills & Rego Park
29,Upper East Side
14,"Briarwood, Fresh Meadows & Hillcrest"
18,East Harlem
65,Upper East Side
14,Brighton Beach & Coney Island
14,Sunset Park & Windsor Terrace
25,Flatbush & Midwood
19,Brighton Beach & Coney Island
18,Crown Heights North & Prospect Heights
23,"Crown Heights So., Prospect Lefferts & Wingate"
62,Canarsie & Flatlands
6,"Sheepshead Bay, Gerritsen Beach & Homecrest"
80,"Castle Hill, Clason Point & Parkchester"
14,Greenpoint & Williamsburg
17,"Briarwood, Fresh Meadows & Hillcrest"
16,East New York & Starrett City
37,Sunset Park & Windsor Terrace
77,Brownsville & Ocean Hill
45,Astoria & Long Island City
37,New Springville & South Beach
13,Chinatown & Lower East Side
54,"Washington Heights, Inwood & Marble Hill"
33,"Flushing, Murray Hill & Whitestone"
49,East Harlem
42,"Borough Park, Kensington & Ocean Parkway"
31,"Wakefield, Williamsbridge & Woodlawn"
38,Brownsville & Ocean Hill
21,Upper East Side
42,Elmhurst & South Corona
48,Bensonhurst & Bath Beach
55,Bay Ridge & Dyker Heights
11,"Chelsea, Clinton & Midtown Business District"
15,New Springville & South Beach
71,"Castle Hill, Clason Point & Parkchester"
13,"Chelsea, Clinton & Midtown Business District"
87,"Wakefield, Williamsbridge & Woodlawn"
4,Upper East Side
13,"Briarwood, Fresh Meadows & Hillcrest"
63,Bushwick
38,Bedford-Stuyvesant
57,Central Harlem
67,"Crown Heights So., Prospect Lefferts & Wingate"
46,East Harlem
30,Astoria & Long Island City
25,Upper West Side & West Side
46,Flatbush & Midwood
71,"Borough Park, Kensington & Ocean Parkway"
78,East Harlem
14,"Concourse, Highbridge & Mount Eden "
40,East Harlem
18,Astoria & Long Island City
33,"East Flatbush, Farragut & Rugby"
78,"Castle Hill, Clason Point & Parkchester"
23,Bensonhurst & Bath Beach
24,Bay Ridge & Dyker Heights
56,"Morris Heights, Fordham South & Mount Hope"
40,"Washington Heights, Inwood & Marble Hill"
20,"Concourse, Highbridge & Mount Eden "
23,Canarsie & Flatlands
36,"Hunts Point, Longwood & Melrose"
61,"Borough Park, Kensington & Ocean Parkway"
66,Chinatown & Lower East Side
23,"Hamilton Hts, Manhattanville & West Harlem"
36,"Borough Park, Kensington & Ocean Parkway"
42,Greenpoint & Williamsburg
15,"Jamaica, Hollis & St. Albans"
13,"Sheepshead Bay, Gerritsen Beach & Homecrest"
31,Bensonhurst & Bath Beach
22,Bedford-Stuyvesant
21,East New York & Starrett City
9,"Flushing, Murray Hill & Whitestone"
31,"Hunts Point, Longwood & Melrose"
8,Upper West Side & West Side
11,Bushwick
44,Upper West Side & West Side
6,Upper West Side & West Side
26,"Battery Park City, Greenwich Village & Soho"
18,Bensonhurst & Bath Beach
26,Brownsville & Ocean Hill
25,"Bedford Park, Fordham North & Norwood "
59,Bensonhurst & Bath Beach
27,"Briarwood, Fresh Meadows & Hillcrest"
69,Greenpoint & Williamsburg
6,"Belmont, Crotona Park East & East Tremont"
25,"Sheepshead Bay, Gerritsen Beach & Homecrest"
62,Canarsie & Flatlands
32,Chinatown & Lower East Side
56,Richmond Hill & Woodhaven
70,"Crown Heights So., Prospect Lefferts & Wingate"
25,"Far Rockaway, Breezy Point & Broad Channel"
33,"Morris Heights, Fordham South & Mount Hope"
3,"Hamilton Hts, Manhattanville & West Harlem"
25,New Springville & South Beach
44,"Riverdale, Fieldston & Kingsbridge"
10,"Murray Hill, Gramercy & Stuyvesant Town"
